"taxon_names","status","min.age","max.age","site"
"Anancus arvernensis","extinct",3.4,4.2,747
"Anancus arvernensis","extinct",3.4,4.2,748
"Anancus arvernensis","extinct",2.6,3.5,749
"Anancus arvernensis","extinct",2.6,3.5,491
"Anancus arvernensis","extinct",2.6,3.5,750
"Anancus arvernensis","extinct",2.6,3.5,751
"Anancus arvernensis","extinct",2.6,3.5,752
"Anancus arvernensis","extinct",2.6,3.5,753
"Anancus arvernensis","extinct",2.6,3.4,754
"Anancus arvernensis","extinct",2.6,3.4,755
"Anancus arvernensis","extinct",2.6,3.4,756
"Anancus arvernensis","extinct",2.6,3.4,757
"Anancus arvernensis","extinct",2.6,3.4,758
"Anancus arvernensis","extinct",2.6,3.4,759
"Anancus arvernensis","extinct",1.95,3.4,760
"Anancus arvernensis","extinct",1.95,3.4,761
"Anancus arvernensis","extinct",1.95,3.4,762
"Anancus arvernensis","extinct",2.6,3.4,763
"Anancus arvernensis","extinct",1.95,2.131,764
"Anancus arvernensis","extinct",11.2,12.85,105
"Anancus arvernensis","extinct",5.3,7.1,765
"Anancus arvernensis","extinct",4.2,5.3,766
"Anancus arvernensis","extinct",4.2,5.3,767
"Anancus arvernensis","extinct",4.2,5.3,768
"Anancus arvernensis","extinct",4.2,5.3,769
"Anancus arvernensis","extinct",2.6,3.4,770
"Anancus arvernensis","extinct",2.6,3.4,771
"Anancus arvernensis","extinct",1.95,3.4,772
"Anancus arvernensis","extinct",2.6,3.4,773
"Anancus arvernensis","extinct",1.98,2.6,509
"Anancus arvernensis","extinct",2.32,2.6,511
"Anancus arvernensis","extinct",1.95,2.6,513
"Anancus arvernensis","extinct",1.98,2.6,514
"Anancus arvernensis","extinct",2.32,2.6,774
"Anancus arvernensis","extinct",4.2,7.1,775
"Anancus arvernensis","extinct",2.6,3.4,776
"Anancus arvernensis","extinct",4.2,5.3,777
"Anancus arvernensis","extinct",4.2,5.3,778
"Anancus arvernensis","extinct",4.2,5.3,779
"Anancus arvernensis","extinct",4.2,5.3,780
"Anancus arvernensis","extinct",3.4,4.2,781
"Anancus arvernensis","extinct",3.4,4.2,782
"Anancus arvernensis","extinct",2.6,3.4,783
"Anancus arvernensis","extinct",2.6,3.4,784
"Anancus arvernensis","extinct",1.95,2.675,538
"Anancus arvernensis","extinct",1.95,2.675,539
"Anancus arvernensis","extinct",1.95,2.6,541
"Anancus arvernensis","extinct",1.95,2.6,542
"Anancus arvernensis","extinct",1.95,2.6,785
"Anancus arvernensis","extinct",1.95,2.6,543
"Anancus arvernensis","extinct",1.95,2.6,786
"Anancus arvernensis","extinct",2.5,2.5,787
"Anancus kazachstanensis","extinct",3.875,4.825,788
"Anancus kazachstanensis","extinct",3.875,4.825,789
"Anancus kazachstanensis","extinct",3,3.4,790
"Anancus kazachstanensis","extinct",1.95,2.6,791
"Anancus lehmanni","extinct",7,7,94
"Anancus lehmanni","extinct",7.1,8.2,802
"Anancus lehmanni","extinct",7.1,8.2,119
"Anancus lehmanni","extinct",7.1,8.2,803
"Anancus lehmanni","extinct",8.2,9,210
"Anancus lehmanni","extinct",8.2,9,210
"Anancus perimensis","extinct",2.6,3.56,678
"Anancus sinensis","extinct",2.433,2.917,734
"Anancus sinensis","extinct",5.3,9,806
"Anancus sinensis","extinct",3.4,5.3,807
"Anancus sinensis","extinct",3.4,5.3,808
"Anancus sinensis","extinct",3.6,4.9,809
"Anancus sinensis","extinct",2.6,3.4,810
"Anancus sivalensis","extinct",0.63,2,362
"Aphanobelodon zhaoi","extinct",13.5,15,814
"Archaeobelodon filholi","extinct",16.4,17.2,216
"Archaeobelodon filholi","extinct",16.4,17.2,816
"Archaeobelodon filholi","extinct",16.4,17.2,225
"Archaeobelodon filholi","extinct",14.2,16.4,817
"Archaeobelodon filholi","extinct",14.2,16.4,247
"Archaeobelodon filholi","extinct",14.2,16.4,251
"Archaeobelodon filholi","extinct",12.85,14.2,261
"Archaeobelodon filholi","extinct",12.85,14.2,131
"Archaeobelodon filholi","extinct",11.2,12.85,818
"Choerolophodon anatolicus","extinct",9,11.2,819
"Choerolophodon anatolicus","extinct",9,11.2,820
"Choerolophodon anatolicus","extinct",9.428,9.735,821
"Choerolophodon anatolicus","extinct",9,9.5,124
"Choerolophodon anatolicus","extinct",9.149,9.428,822
"Choerolophodon anatolicus","extinct",9.069,9.149,125
"Choerolophodon chioticus","extinct",14.2,16.4,823
