species,region,Site,maximum age,minimum age,family,Notes on earliest occurrences
Eritherium azzouzorum,Northern Africa,Sidi Chennane_siteSet_1,"59,2",56,incertae sedis,Bed IIa - F1 early Thanetian según Yanns et al. 2003 Gondwana Research
Daouitherium rebouli,Northern Africa,Grand Daoui Quarries - Ouled Abdoun Basin_siteSet_1,56,53,Numidotheriidae,Bed 0 (Yanns et al. 2003 Gondwana Research)
Phosphatherium escuilliei,Northern Africa,Grand Daoui Quarries - Ouled Abdoun Basin_siteSet_1,56,53,Numidotheriidae,Intercalary II/I (Yanns et al. 2003 Gondwana Research)
Khamsaconus bulbosus,Northern Africa,"N'Tagourt 2, Ouazarzate_siteSet_1",53,"52,5",incertae sedis,age updated Geerbrant 1998
Numidotherium koholense,Northern Africa,El Kohol_siteSet_1,52,51,Numidotheriidae,updated age from Coster et al. 2012
Moeritherium chehbeurameuri,Northern Africa,Bir El Ater_siteSet_1,39,38,Moeritheriidae,"Seiffert et al. (chapter) 2008 say is earliest Priabonian; Jaeger et al. 2010 say same age as Dor el talah, 39 to 38 Ma"
Moeritherium lyonsi,Northern Africa,Dor et Talah - Evaporite Unit_siteSet_1,39,38,Moeritheriidae,"Seiffert et al. (chapter) 2008 say is earliest Priabonian; Jaeger et al. 2010 say same age as Dor el talah, 39 to 38 Ma"
Numidotherium savagei,Northern Africa,Dor et Talah - Evaporite Unit_siteSet_1,39,38,Numidotheriidae,"Seiffert et al. (chapter) 2008 say is earliest Priabonian; Jaeger et al. 2010 say same age as Dor el talah, 39 to 38 Ma"
Barytherium grave,Northern Africa,Dor et Talah - Idam Unit_siteSet_1,39,38,Barytheriidae,"Ashour et al. 2012 dicen que Evaporites and Idam unit are same unit, 39 to 38 MaJaeger et al Nature 2010 say 39 to 38 Ma"
Moeritherium trigodon,Northern Africa,Dor et Talah - Idam Unit_siteSet_1,39,38,Moeritheriidae,"Ashour et al. 2012 dicen que Evaporites and Idam unit are same unit, 39 to 38 MaJaeger et al Nature 2010 say 39 to 38 Ma"
Barytherium grave,Northern Africa,Dor et Talah - Evaporite Unit_siteSet_1,39,38,Barytheriidae,R1_Science: late Eocene/early Oligocene; Jaeger et al Nature 2010 say 39 to 38 Ma
Barytherium grave,Northern Africa,Beadnell Section_siteSet_1,"37,74","36,73",Barytheriidae,Qasr el-Sagha Formation (PBDB) - chrons in Seiffert 2005 Science: C17n.1n a C16n.1r
Moeritherium lyonsi,Northern Africa,Beadnell Section_siteSet_1,"37,74","36,73",Moeritheriidae,Qasr el-Sagha Formation (PBDB) - chrons in Seiffert 2005 Science: C17n.1n a C16n.1r
Moeritherium lyonsi,Northern Africa,Beadnell Section_siteSet_1,"37,74","36,73",Moeritheriidae,Qasr el-Sagha Formation (PBDB) - chrons in Seiffert 2005 Science: C17n.1n a C16n.1r
Moeritherium lyonsi,Northern Africa,1.5 mi west of Moeritherium skeleton_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,DPC L-37_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,DPC L-38_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,DPC L-45_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,DPC L-52_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,DPC L-66_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,DPC L-67_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,UCMP V4754_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,Yale Moeritherium Locality_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,Yale Quarry H_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,Yale Quarry K_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Moeritherium lyonsi,Northern Africa,Yale Quarry U_siteSet_1,"37,05","36,73",Moeritheriidae,Qasr el Sagha Fm. - Dir Abu Lifa Mbr.; chrons in Seiffert 2005 Science: C16n.2n a C16n.1r
Barytherium grave,Northern Africa,NNW of Birket Qarun_siteSet_1,"35,8",32,Barytheriidae,"Abdel-Fattah 2016 says is early Priabonian, but gives no exacts age;  Jebel (Gebel) Qatrani Formation; chrons in Seiffert 2005 Science: C16n.1n to C12"
Moeritherium lyonsi,Northern Africa,NNW of Birket Qarun_siteSet_1,"35,8",32,Moeritheriidae,"Abdel-Fattah 2016 says is early Priabonian, but gives no exacts age;  Jebel (Gebel) Qatrani Formation; chrons in Seiffert 2005 Science: C16n.1n to C12"
Moeritherium lyonsi,Northern Africa,NNW of Birket Qarun_siteSet_1,"35,8",32,Moeritheriidae,"Abdel-Fattah 2016 says is early Priabonian, but gives no exacts age;  Jebel (Gebel) Qatrani Formation; chrons in Seiffert 2005 Science: C16n.1n to C12"
Moeritherium trigodon,Northern Africa,NNW of Birket Qarun_siteSet_1,"35,8",32,Moeritheriidae,"Abdel-Fattah 2016 says is early Priabonian, but gives no exacts age;  Jebel (Gebel) Qatrani Formation; chrons in Seiffert 2005 Science: C16n.1n to C12"
Palaeomastodon beadnelli,Northern Africa,NNW of Birket Qarun_siteSet_1,"35,8",32,Palaeomastodontidae,"Abdel-Fattah 2016 says is early Priabonian, but gives no exacts age;  Jebel (Gebel) Qatrani Formation; chrons in Seiffert 2005 Science: C16n.1n to C12"
Palaeomastodon beadnelli,Northern Africa,NNW of Birket Qarun_siteSet_1,"35,8",32,Palaeomastodontidae,"Abdel-Fattah 2016 says is early Priabonian, but gives no exacts age;  Jebel (Gebel) Qatrani Formation; chrons in Seiffert 2005 Science: C16n.1n to C12"
Phiomia serridens,Northern Africa,NNW of Birket Qarun_siteSet_1,"35,8",32,Palaeomastodontidae,"Abdel-Fattah 2016 says is early Priabonian, but gives no exacts age;  Jebel (Gebel) Qatrani Formation; chrons in Seiffert 2005 Science: C16n.1n to C12"
Phiomia serridens,Northern Africa,NNW of Birket Qarun_siteSet_1,"35,8",32,Palaeomastodontidae,"Abdel-Fattah 2016 says is early Priabonian, but gives no exacts age;  Jebel (Gebel) Qatrani Formation; chrons in Seiffert 2005 Science: C16n.1n to C12"
Phiomia serridens,Northern Africa,NNW of Birket Qarun_siteSet_1,"35,8",32,Palaeomastodontidae,"Abdel-Fattah 2016 says is early Priabonian, but gives no exacts age;  Jebel (Gebel) Qatrani Formation; chrons in Seiffert 2005 Science: C16n.1n to C12"
Barytherium grave,Northern Africa,Qasr el-Sagha Loc._siteSet_1,35,"33,9",Barytheriidae,late Priabonian; according to Abdel-Fattah 2012;  and Ghandour 2013
Moeritherium lyonsi,Northern Africa,Qasr el-Sagha Loc._siteSet_1,35,"33,9",Moeritheriidae,late Priabonian; according to Abdel-Fattah 2012;  and Ghandour 2013
Moeritherium andrewsi,Northern Africa,Fayum 1_siteSet_1,"33,9","27,8",Moeritheriidae,
Omanitherium dhofarensis,Northern Africa,DPP-2010-1_siteSet_1,"33,9","28,4",Barytheriidae,
Gomphotherium basal,Northern Africa,Harrat Al Ujayfa_siteSet_1,29,28,Gomphotheriidae,
Chilgatherium harrisi,Eastern Africa,Chilga_siteSet_1,28,27,Deinotheriidae,
Phiomia major,Eastern Africa,Chilga_siteSet_1,28,27,Palaeomastodontidae,
Eritreum melakeghebrekristosi,Eastern Africa,Dogali_siteSet_1,28,"26,8",incertae sedis,
Gomphotherium basal,Eastern Africa,Chilga_siteSet_1,28,27,Gomphotheriidae,
Losodokodon losodokius,Eastern Africa,Benson's Site_siteSet_1,"27,5","24,2",Mammutidae,
Losodokodon losodokius,Eastern Africa,Lothidok Hill_siteSet_1,"27,5","24,2",Mammutidae,
Hemimastodon crepusculi,Southern Asia,Dera Bugti Level J_siteSet_1,27,25,incertae sedis,
Prodeinotherium hobleyi,Eastern Africa,Mai Gobro 1_siteSet_1,"24,6","22,1",Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Adi Zerna_siteSet_1,"24,6","22,1",Deinotheriidae,
Gomphotherium basal,Eastern Africa,Mai Gobro 1_siteSet_1,"24,6","22,1",Gomphotheriidae,
Prodeinotherium pentapotamiae,Southern Asia,Kangra Valley_siteSet_1,"23,8","20,5",Deinotheriidae,
Eozygodon morotoensis,Eastern Africa,Moroto I_siteSet_1,"23,8","20,5",Mammutidae,
Prodeinotherium hobleyi,Eastern Africa,Moroto_siteSet_1,"23,8","20,5",Deinotheriidae,
Eozygodon morotoensis,Eastern Africa,Moroto II_siteSet_1,21,"20,6",Mammutidae,
Progomphotherium maraisi,Eastern Africa,Moroto II_siteSet_1,21,"20,6",Gomphotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Moroto II_siteSet_1,21,"20,6",Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Mwiti_siteSet_1,"20,5","19,2",Deinotheriidae,
Archaeobelodon filholi,Eastern Africa,Mwiti_siteSet_1,"20,5","19,2",Gomphotheriidae,
Gomphotherium angustidens,Northern Africa,Siwa_siteSet_1,"20,44","15,97",Gomphotheriidae,
Platybelodon dangheensis,Eastern Asia,Danghe-xishuigou_siteSet_1,"20,162","18,317",Gomphotheriidae,
Archaeobelodon filholi,Eastern Africa,Napak_siteSet_1,20,19,Gomphotheriidae,
Progomphotherium maraisi,Southern Africa,Auchas_siteSet_1,20,19,Gomphotheriidae,
Eozygodon morotoensis,Southern Africa,Auchas Pit AM 02_siteSet_1,20,19,Mammutidae,
Prodeinotherium hobleyi,Southern Africa,Auchas_siteSet_1,20,19,Deinotheriidae,
Prodeinotherium hobleyi,Southern Africa,Auchas Pit AM 02_siteSet_1,20,19,Deinotheriidae,
Prodeinotherium hobleyi,Southern Africa,Auchas Pit AMSE_siteSet_1,20,19,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Nyanza 6 (Koru 15)_siteSet_1,"19,5","19,5",Deinotheriidae,
Choerolophodon corrugatus,Southern Asia,Dera Bugti 5_siteSet_1,"19,5","17,2",Gomphotheriidae,
Gomphotherium cooperi,Southern Asia,Dera Bugti 5_siteSet_1,"19,5","17,2",Gomphotheriidae,
Prodeinotherium pentapotamiae,Southern Asia,Dera Bugti 4_siteSet_1,"19,5","17,2",Deinotheriidae,
Prodeinotherium pentapotamiae,Southern Asia,Dera Bugti 5_siteSet_1,"19,5","17,2",Deinotheriidae,
Prodeinotherium bavaricum,Southern Europe,Gavathas_siteSet_1,"19,5","18,4",Deinotheriidae,
Prodeinotherium bavaricum,Western Europe,Orléanais_siteSet_1,"19,5","17,2",Deinotheriidae,
Gomphotherium hannibali,Western Europe,Le Mazet_siteSet_1,"19,5","16,4",Gomphotheriidae,
Gomphotherium sylvaticum,Western Europe,Navère_siteSet_1,"19,5","17,2",Gomphotheriidae,
Afrochoerodon kisumuensis,Eastern Africa,Bukwa_siteSet_1,"19,16",19,Gomphotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Bukwa_siteSet_1,"19,16",19,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Loperot_siteSet_1,19,17,Deinotheriidae,
Gomphotherium mongoliense,Eastern Asia,Ulan-Tologoj_siteSet_1,"18,45","15,6",Gomphotheriidae,
Miomastodon gobiensis,Eastern Asia,Ulan-Tologoj_siteSet_1,"18,45","15,6",Mammutidae,
Stegolophodon pseudolatidens,Eastern Asia,Kusebara_siteSet_1,"18,3",17,Stegodontidae,
Stegolophodon pseudolatidens,Eastern Asia,Taira-Yagawase_siteSet_1,"18,3",17,Stegodontidae,
Stegolophodon pseudolatidens,Eastern Asia,Toyooka_siteSet_1,"18,3",17,Stegodontidae,
Stegolophodon pseudolatidens,Eastern Asia,Mii_siteSet_1,18,16,Stegodontidae,
Afrochoerodon kisumuensis,Northern Africa,Wadi Moghara_siteSet_1,18,17,Gomphotheriidae,
Gomphotherium angustidens,Northern Africa,Wadi Moghara_siteSet_1,18,17,Gomphotheriidae,
Zygolophodon aegyptensis,Northern Africa,Wadi Moghara_siteSet_1,18,17,Mammutidae,
Gomphotherium angustidens,Central Asia,Aktau Mountain_siteSet_1,18,"15,2",Gomphotheriidae,
Gomphotherium angustidens,Western Europe,Auterive_siteSet_1,18,"15,2",Gomphotheriidae,
Zygolophodon turicensis,Western Europe,Bourg-Saint-Bernard_siteSet_1,18,"15,2",Mammutidae,
Prodeinotherium hobleyi,Eastern Africa,Karungu (Nira & Kachuka)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Mfwangano 2_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Mfwangano 3_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (-)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (Gumba)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (Hiwegi west)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (Hiwegi)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (Kalim)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (Kathwanga)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (kiahera hill)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (Kiyune)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (kulu)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (Nyamsingula)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (R106)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (R117)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (R7)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (Sienga)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (Wakondu)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (Wanyama)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Rusinga (Wayondo)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Uyoma 10 (Nyakongo)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Uyoma 11 (Nyamsore S)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Uyoma 12 (Rangoye)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Uyoma 13 (Ruma)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Uyoma 2 (Chianda N)_siteSet_1,18,17,Deinotheriidae,
Eozygodon morotoensis,Eastern Africa,Rusinga (Hiwegi)_siteSet_1,18,17,Mammutidae,
Eozygodon morotoensis,Eastern Africa,Rusinga (Kathwanga)_siteSet_1,18,17,Mammutidae,
Prodeinotherium hobleyi,Eastern Africa,Uyoma 6 (Magare)_siteSet_1,18,17,Deinotheriidae,
Prodeinotherium bavaricum,Western Europe,La Sauvetat_siteSet_1,18,"15,2",Deinotheriidae,
Gomphotherium angustidens,Western Europe,Gerlenhofen_siteSet_1,18,"15,2",Gomphotheriidae,
Gomphotherium angustidens,Western Europe,Grimmelfingen_siteSet_1,18,"15,2",Gomphotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Uyoma 9 (Nyabera)_siteSet_1,18,17,Deinotheriidae,
Zygolophodon turicensis,Western Europe,Montbrun-Bocage_siteSet_1,18,"15,2",Mammutidae,
Gomphotherium angustidens,Southern Europe,Monteagudo_siteSet_1,18,"15,2",Gomphotheriidae,
Stegolophodon hueiheensis,Eastern Asia,Sihong-shuanggou_siteSet_1,18,16,Stegodontidae,
Stegolophodon hueiheensis,Eastern Asia,Sihong-songlinzhuang_siteSet_1,18,16,Stegodontidae,
Stegolophodon hueiheensis,Eastern Asia,Xiacaowan_siteSet_1,18,17,Stegodontidae,
Gomphotherium angustidens,Central Asia,Aktau middle_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium cooperi,Western Asia,Ad Dabtiyah_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium angustidens,Western Asia,Akcahisar 1_siteSet_1,"17,2","16,4",Gomphotheriidae,
Zygolophodon turicensis,Western Asia,Akcahisar 1_siteSet_1,"17,2","16,4",Mammutidae,
Gomphotherium sylvaticum,Western Europe,Artenay_siteSet_1,"17,2","16,4",Gomphotheriidae,
Archaeobelodon filholi,Southern Europe,Artesilla_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium angustidens,Southern Europe,Artesilla_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium angustidens,Western Europe,Baggersee Freudenegg 2_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium subtapiroideum,Western Europe,Baggersee Freudenegg 3_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium angustidens,Eastern Europe,Belchatow C_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium annectens,Central Asia,Bestobe_siteSet_1,"17,2","16,4",Gomphotheriidae,
Archaeobelodon filholi,Western Europe,Bézian_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium angustidens,Southern Europe,Buñol_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium angustidens,Eastern Africa,Buluk_siteSet_1,"17,2","16,4",Gomphotheriidae,
Archaeobelodon filholi,Eastern Africa,Buluk (West Stephanie)_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium angustidens,Southern Europe,Can Canals_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium angustidens,Southern Europe,Can Julia_siteSet_1,"17,2","16,4",Gomphotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Buluk_siteSet_1,"17,2","16,4",Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Buluk (West Stephanie)_siteSet_1,"17,2","16,4",Deinotheriidae,
Gomphotherium angustidens,Western Europe,Chêne de Navère_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium angustidens,Southern Europe,Conrelas do Cavão_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium angustidens,Southern Europe,Córcoles_siteSet_1,"17,2","16,4",Gomphotheriidae,
Choerolophodon corrugatus,Southern Asia,Dera Bugti 6_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium cooperi,Southern Asia,Dera Bugti 6_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium browni,Southern Asia,Dera Bugti 6_siteSet_1,"17,2","16,4",Gomphotheriidae,
Miomastodon metachinjiensis,Southern Asia,Dera Bugti 6_siteSet_1,"17,2","16,4",Mammutidae,
Protanancus chinjiensis,Southern Asia,Dera Bugti 6_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium angustidens,Eastern Africa,Rusinga (-)_siteSet_2,"17,2","16,4",Gomphotheriidae,
Prodeinotherium bavaricum,Western Asia,Akcahisar 1_siteSet_1,"17,2","16,4",Deinotheriidae,
Gomphotherium angustidens,Western Europe,Eggingen-Mittelhart 3_siteSet_1,"17,2","16,4",Gomphotheriidae,
Prodeinotherium bavaricum,Southern Europe,Artesilla_siteSet_1,"17,2","16,4",Deinotheriidae,
Prodeinotherium bavaricum,Western Europe,Baggersee Freudenegg 3_siteSet_1,"17,2","16,4",Deinotheriidae,
Prodeinotherium bavaricum,Southern Europe,Can Canals_siteSet_1,"17,2","16,4",Deinotheriidae,
Prodeinotherium bavaricum,Western Europe,Chevilly_siteSet_1,"17,2","16,4",Deinotheriidae,
Prodeinotherium pentapotamiae,Southern Asia,Dera Bugti 6_siteSet_1,"17,2","16,4",Deinotheriidae,
Prodeinotherium bavaricum,Western Europe,Eggingen-Mittelhart 3_siteSet_1,"17,2","16,4",Deinotheriidae,
Prodeinotherium bavaricum,Western Europe,La Romieu_siteSet_1,"17,2","16,4",Deinotheriidae,
Prodeinotherium bavaricum,Western Europe,Langenau 1_siteSet_1,"17,2","16,4",Deinotheriidae,
Prodeinotherium bavaricum,Western Europe,Langenau 2_siteSet_1,"17,2","16,4",Deinotheriidae,
Prodeinotherium bavaricum,Western Europe,Montreal-du-Gers_siteSet_1,"17,2","16,4",Deinotheriidae,
Prodeinotherium bavaricum,Western Europe,Tavers_siteSet_1,"17,2","16,4",Deinotheriidae,
Archaeobelodon filholi,Western Europe,La Romieu_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium angustidens,Western Europe,La Romieu_siteSet_1,"17,2","16,4",Gomphotheriidae,
Zygolophodon turicensis,Western Europe,La Romieu_siteSet_1,"17,2","16,4",Mammutidae,
Zygolophodon turicensis,Western Europe,La Romieu superior_siteSet_1,"17,2","16,4",Mammutidae,
Gomphotherium angustidens,Western Europe,Langenau 1_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium sylvaticum,Western Europe,Montreal-du-Gers_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium angustidens,Southern Europe,Quinta da Farinheira_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium angustidens,Southern Europe,Quinta das Pedreiras_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium sylvaticum,Southern Europe,Quinta das Pedreiras_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium angustidens,Southern Europe,Quinta Grande_siteSet_1,"17,2","16,4",Gomphotheriidae,
Gomphotherium angustidens,Southern Europe,Sant Mamet_siteSet_1,"17,2","16,4",Gomphotheriidae,
Prodeinotherium hobleyi,Southern Africa,Ryskop_siteSet_1,"17,2","16,4",Deinotheriidae,
Eozygodon morotoensis,Eastern Africa,Morourot_siteSet_1,"17,2","17,2",Mammutidae,
Gomphotherium angustidens,Eastern Africa,Morourot_siteSet_1,"17,2","17,2",Gomphotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Kalodirr_siteSet_1,"17,2","17,2",Deinotheriidae,
Prodeinotherium hobleyi,Eastern Africa,Morourot_siteSet_1,"17,2","17,2",Deinotheriidae,
Stegolophodon pseudolatidens,Eastern Asia,Harinoki_siteSet_1,17,"16,4",Stegodontidae,
Stegolophodon pseudolatidens,Eastern Asia,Kasuga_siteSet_1,17,"16,4",Stegodontidae,
Stegolophodon pseudolatidens,Eastern Asia,Shibata_siteSet_1,17,"16,4",Stegodontidae,
Stegolophodon pseudolatidens,Eastern Asia,Shiogama_siteSet_1,17,"16,4",Stegodontidae,
Stegolophodon pseudolatidens,Eastern Asia,Suwara_siteSet_1,17,"16,4",Stegodontidae,
Stegolophodon pseudolatidens,Eastern Asia,Taira-Kamitakaku_siteSet_1,17,"16,4",Stegodontidae,
Stegolophodon pseudolatidens,Eastern Asia,Tochizu_siteSet_1,17,"16,4",Stegodontidae,
Stegolophodon pseudolatidens,Eastern Asia,Yatsuomachi-Miyanokoshi_siteSet_1,17,"16,4",Stegodontidae,
Gomphotherium angustidens,Western Europe,Baigneaux-en-Beauce_siteSet_1,17,"15,2",Gomphotheriidae,
Platybelodon danovi,Eastern Europe,Belometchetskaja_siteSet_1,17,"15,2",Gomphotheriidae,
Gomphotherium angustidens,Southern Europe,Puente de Vallecas_siteSet_1,17,"15,2",Gomphotheriidae,
Gomphotherium angustidens,Western Europe,Engelswies_siteSet_1,"16,583","16,318",Gomphotheriidae,
Stegolophodon pseudolatidens,Eastern Asia,Himosash_siteSet_1,"16,4",16,Stegodontidae,
Stegolophodon pseudolatidens,Eastern Asia,Kitashioko_siteSet_1,"16,4",16,Stegodontidae,
Stegolophodon pseudolatidens,Eastern Asia,Shimoanosawa_siteSet_1,"16,4",16,Stegodontidae,
Gomphotherium angustidens,Central Asia,Akkemer_siteSet_1,"16,4","14,2",Gomphotheriidae,
Afromastodon coppensi,Southern Africa,Arrisdrift_siteSet_1,"16,4","14,2",Gomphotheriidae,
Gomphotherium angustidens,Southern Europe,Arroyo del Olivar_siteSet_1,"16,4","14,2",Gomphotheriidae,
Platybelodon danovi,Eastern Europe,Belometchetskaja_siteSet_2,"16,4","14,2",Gomphotheriidae,
Archaeobelodon filholi,Western Europe,Birosse_siteSet_1,"16,4","14,2",Gomphotheriidae,
Gomphotherium angustidens,Western Europe,Breil MN5_siteSet_1,"16,4","14,2",Gomphotheriidae,
Zygolophodon turicensis,Western Europe,Breil MN5_siteSet_1,"16,4","14,2",Mammutidae,
Zygolophodon turicensis,Western Europe,Castelnau-d'Auzan_siteSet_1,"16,4","14,2",Mammutidae,
Gomphotherium angustidens,Western Europe,Channay-sur-Lathan MN5_siteSet_1,"16,4","14,2",Gomphotheriidae,
Choerolophodon chioticus,Southern Europe,Chios_siteSet_1,"16,4","14,2",Gomphotheriidae,
Gomphotherium angustidens,Western Europe,Cléré-les-Pins MN5_siteSet_1,"16,4","14,2",Gomphotheriidae,
Zygolophodon turicensis,Western Europe,Cléré-les-Pins MN5_siteSet_1,"16,4","14,2",Mammutidae,
Gomphotherium angustidens,Western Europe,Crastes_siteSet_1,"16,4","14,2",Gomphotheriidae,
Gomphotherium inopinatum,Central Asia,Dzhilanchik (Uly-Dzhilanchik)_siteSet_1,"16,4","14,2",Gomphotheriidae,
Gomphotherium angustidens,Western Europe,Edelbeuren-Maurerkopf_siteSet_1,"16,4","14,2",Gomphotheriidae,
Gomphotherium angustidens,Western Europe,Enghausen_siteSet_1,"16,4","14,2",Gomphotheriidae,
Gomphotherium angustidens,Western Europe,Esvres - Marine Faluns_siteSet_1,"16,4","14,2",Gomphotheriidae,
Zygolophodon turicensis,Western Europe,Esvres - Marine Faluns_siteSet_1,"16,4","14,2",Mammutidae,
Gomphotherium angustidens,Western Europe,Frohberg_siteSet_1,"16,4","14,2",Gomphotheriidae,
Gomphotherium angustidens,Western Europe,Gallenbach 2C_siteSet_1,"16,4","12,5",Gomphotheriidae,
Gomphotherium angustidens,Western Europe,Gimont_siteSet_1,"16,4","14,2",Gomphotheriidae,
