"species","region","minimum.age","maximum.age","family","Site"
"Chilgatherium harrisi","Africa",27,28,"Deinotheriidae",7
"Deinotherium bozasi","Africa",9.7,9.9,"Deinotheriidae",8
"Deinotherium bozasi","Africa",9,9.5,"Deinotheriidae",9
"Deinotherium bozasi","Africa",6.54,7.44,"Deinotheriidae",10
"Deinotherium bozasi","Africa",5.3,6.54,"Deinotheriidae",11
"Deinotherium bozasi","Africa",5.7,5.7,"Deinotheriidae",12
"Deinotherium bozasi","Africa",5.7,5.7,"Deinotheriidae",13
"Deinotherium bozasi","Africa",5.2,5.6,"Deinotheriidae",14
"Deinotherium bozasi","Africa",5.54,5.6,"Deinotheriidae",15
"Deinotherium bozasi","Africa",5,5.5,"Deinotheriidae",16
"Deinotherium bozasi","Africa",3.6,5.33,"Deinotheriidae",17
"Deinotherium bozasi","Africa",3.6,5.33,"Deinotheriidae",18
"Deinotherium bozasi","Africa",2.6,5.33,"Deinotheriidae",19
"Deinotherium bozasi","Africa",2.6,5.33,"Deinotheriidae",20
"Deinotherium bozasi","Africa",2.6,5.33,"Deinotheriidae",21
"Deinotherium bozasi","Africa",2.6,5.33,"Deinotheriidae",22
"Deinotherium bozasi","Africa",2.6,5.33,"Deinotheriidae",23
"Deinotherium bozasi","Africa",4.2,5.3,"Deinotheriidae",24
"Deinotherium bozasi","Africa",5.2,5.2,"Deinotheriidae",25
"Deinotherium bozasi","Africa",5.2,5.2,"Deinotheriidae",26
"Deinotherium bozasi","Africa",3.94,4.35,"Deinotheriidae",27
"Deinotherium bozasi","Africa",3.6,4.2,"Deinotheriidae",28
"Deinotherium bozasi","Africa",3.6,4.2,"Deinotheriidae",29
"Deinotherium bozasi","Africa",3.4,4.2,"Deinotheriidae",30
"Deinotherium bozasi","Africa",4.07,4.17,"Deinotheriidae",31
"Deinotherium bozasi","Africa",3.4,3.94,"Deinotheriidae",32
"Deinotherium bozasi","Africa",3,3.9,"Deinotheriidae",33
"Deinotherium bozasi","Africa",3.4,3.6,"Deinotheriidae",34
"Deinotherium bozasi","Africa",3.4,3.6,"Deinotheriidae",35
"Deinotherium bozasi","Africa",3.4,3.6,"Deinotheriidae",36
"Deinotherium bozasi","Africa",3.44,3.6,"Deinotheriidae",37
"Deinotherium bozasi","Africa",2.6,3.56,"Deinotheriidae",38
"Deinotherium bozasi","Africa",2.6,3.56,"Deinotheriidae",39
"Deinotherium bozasi","Africa",2.6,3.56,"Deinotheriidae",40
"Deinotherium bozasi","Africa",3.2,3.446,"Deinotheriidae",41
"Deinotherium bozasi","Africa",2.91,3.44,"Deinotheriidae",42
"Deinotherium bozasi","Africa",2.91,3.44,"Deinotheriidae",43
"Deinotherium bozasi","Africa",2.91,3.44,"Deinotheriidae",44
"Deinotherium bozasi","Africa",2.64,3.4,"Deinotheriidae",45
"Deinotherium bozasi","Africa",2.64,3.4,"Deinotheriidae",46
"Deinotherium bozasi","Africa",2.52,3.4,"Deinotheriidae",47
"Deinotherium bozasi","Africa",2.6,3.4,"Deinotheriidae",48
"Deinotherium bozasi","Africa",2.64,3.4,"Deinotheriidae",49
"Deinotherium bozasi","Africa",3.18,3.22,"Deinotheriidae",50
"Deinotherium bozasi","Africa",2.53,2.91,"Deinotheriidae",51
"Deinotherium bozasi","Africa",2.7,2.88,"Deinotheriidae",52
"Deinotherium bozasi","Africa",1.78,2.64,"Deinotheriidae",53
"Deinotherium bozasi","Africa",2.5,2.6,"Deinotheriidae",54
"Deinotherium bozasi","Africa",2.52,2.6,"Deinotheriidae",55
"Deinotherium bozasi","Africa",2.47,2.57,"Deinotheriidae",56
"Deinotherium bozasi","Africa",2.4,2.53,"Deinotheriidae",57
"Deinotherium bozasi","Africa",2.34,2.53,"Deinotheriidae",58
"Deinotherium bozasi","Africa",2.34,2.52,"Deinotheriidae",59
"Deinotherium bozasi","Africa",2.5,2.5,"Deinotheriidae",60
"Deinotherium bozasi","Africa",2.32,2.4,"Deinotheriidae",61
"Deinotherium bozasi","Africa",2.32,2.4,"Deinotheriidae",62
"Deinotherium bozasi","Africa",2.27,2.32,"Deinotheriidae",63
"Deinotherium bozasi","Africa",2.27,2.32,"Deinotheriidae",64
"Deinotherium bozasi","Africa",1.9,2.27,"Deinotheriidae",65
"Deinotherium bozasi","Africa",1.88,2,"Deinotheriidae",66
"Deinotherium bozasi","Africa",1.86,2,"Deinotheriidae",67
"Deinotherium bozasi","Africa",1.4,1.9,"Deinotheriidae",68
"Deinotherium bozasi","Africa",1.6,1.88,"Deinotheriidae",69
"Deinotherium bozasi","Africa",1.53,1.87,"Deinotheriidae",70
"Deinotherium bozasi","Africa",1.53,1.87,"Deinotheriidae",71
"Deinotherium bozasi","Africa",1.53,1.86,"Deinotheriidae",72
"Deinotherium bozasi","Africa",1.785,1.845,"Deinotheriidae",73
"Deinotherium bozasi","Africa",1.15,1.785,"Deinotheriidae",74
"Deinotherium bozasi","Africa",1.33,1.53,"Deinotheriidae",75
"Deinotherium bozasi","Africa",5.3,7.1,"Deinotheriidae",76
"Prodeinotherium hobleyi","Africa",22.1,24.6,"Deinotheriidae",270
"Prodeinotherium hobleyi","Africa",22.1,24.6,"Deinotheriidae",271
"Prodeinotherium hobleyi","Africa",20.5,23.8,"Deinotheriidae",272
"Prodeinotherium hobleyi","Africa",20.6,21,"Deinotheriidae",273
"Prodeinotherium hobleyi","Africa",19.2,20.5,"Deinotheriidae",274
"Prodeinotherium hobleyi","Africa",19.5,19.5,"Deinotheriidae",275
"Prodeinotherium hobleyi","Africa",19,19.16,"Deinotheriidae",276
"Prodeinotherium hobleyi","Africa",17,19,"Deinotheriidae",277
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",278
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",279
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",280
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",281
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",282
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",283
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",284
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",285
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",286
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",287
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",288
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",289
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",290
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",291
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",292
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",293
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",294
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",295
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",296
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",297
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",298
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",299
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",300
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",301
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",302
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",303
"Prodeinotherium hobleyi","Africa",17,18,"Deinotheriidae",304
"Prodeinotherium hobleyi","Africa",16.4,17.2,"Deinotheriidae",305
"Prodeinotherium hobleyi","Africa",16.4,17.2,"Deinotheriidae",306
"Prodeinotherium hobleyi","Africa",17.2,17.2,"Deinotheriidae",307
"Prodeinotherium hobleyi","Africa",17.2,17.2,"Deinotheriidae",308
"Prodeinotherium hobleyi","Africa",13.82,15.97,"Deinotheriidae",309
"Prodeinotherium hobleyi","Africa",13.82,15.97,"Deinotheriidae",310
"Prodeinotherium hobleyi","Africa",13.82,15.97,"Deinotheriidae",311
"Prodeinotherium hobleyi","Africa",13.82,15.97,"Deinotheriidae",312
"Prodeinotherium hobleyi","Africa",13.82,15.97,"Deinotheriidae",313
"Prodeinotherium hobleyi","Africa",15,15,"Deinotheriidae",314
"Prodeinotherium hobleyi","Africa",15,15,"Deinotheriidae",315
"Prodeinotherium hobleyi","Africa",15,15,"Deinotheriidae",316
"Prodeinotherium hobleyi","Africa",15,15,"Deinotheriidae",317
"Prodeinotherium hobleyi","Africa",15,15,"Deinotheriidae",318
"Prodeinotherium hobleyi","Africa",15,15,"Deinotheriidae",319
"Prodeinotherium hobleyi","Africa",15,15,"Deinotheriidae",320
"Prodeinotherium hobleyi","Africa",15,15,"Deinotheriidae",321
"Prodeinotherium hobleyi","Africa",15,15,"Deinotheriidae",322
"Prodeinotherium hobleyi","Africa",12.85,14.2,"Deinotheriidae",323
"Prodeinotherium hobleyi","Africa",12.85,14.2,"Deinotheriidae",324
"Prodeinotherium hobleyi","Africa",12.4,14,"Deinotheriidae",325
"Prodeinotherium hobleyi","Africa",13.7,13.8,"Deinotheriidae",326
"Prodeinotherium hobleyi","Africa",13.7,13.8,"Deinotheriidae",326
"Prodeinotherium hobleyi","Africa",11,13,"Deinotheriidae",327
"Prodeinotherium hobleyi","Africa",7.25,11.63,"Deinotheriidae",328
"Prodeinotherium hobleyi","Africa",19,20,"Deinotheriidae",329
"Prodeinotherium hobleyi","Africa",19,20,"Deinotheriidae",330
"Prodeinotherium hobleyi","Africa",19,20,"Deinotheriidae",331
"Prodeinotherium hobleyi","Africa",16.4,17.2,"Deinotheriidae",332
"Prodeinotherium hobleyi","Africa",14.2,16.4,"Deinotheriidae",333
"Deinotherium giganteum","Eurasia",11.2,14.2,"Deinotheriidae",77
"Deinotherium giganteum","Eurasia",11.5,13.6,"Deinotheriidae",78
"Deinotherium giganteum","Eurasia",9.5,12.85,"Deinotheriidae",79
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",80
"Deinotherium giganteum","Eurasia",9.5,11.2,"Deinotheriidae",81
"Deinotherium giganteum","Eurasia",9.5,11.2,"Deinotheriidae",82
"Deinotherium giganteum","Eurasia",9.5,11.2,"Deinotheriidae",83
"Deinotherium giganteum","Eurasia",9.5,10.35,"Deinotheriidae",84
"Deinotherium giganteum","Eurasia",7.1,9.5,"Deinotheriidae",85
"Deinotherium giganteum","Eurasia",9,9.5,"Deinotheriidae",86
"Deinotherium giganteum","Eurasia",9,9.5,"Deinotheriidae",87
"Deinotherium giganteum","Eurasia",7.1,9,"Deinotheriidae",88
"Deinotherium giganteum","Eurasia",7.1,8.2,"Deinotheriidae",89
"Deinotherium giganteum","Eurasia",5.3,8.2,"Deinotheriidae",90
"Deinotherium giganteum","Eurasia",7.1,8.2,"Deinotheriidae",91
"Deinotherium giganteum","Eurasia",5.3,7.1,"Deinotheriidae",92
"Deinotherium giganteum","Eurasia",5.4,7.1,"Deinotheriidae",93
"Deinotherium giganteum","Eurasia",7,7,"Deinotheriidae",94
"Deinotherium giganteum","Eurasia",7.1,9,"Deinotheriidae",95
"Deinotherium giganteum","Eurasia",7.1,8.2,"Deinotheriidae",96
"Deinotherium giganteum","Eurasia",7.1,8.2,"Deinotheriidae",97
"Deinotherium giganteum","Eurasia",7.4,7.9,"Deinotheriidae",98
"Deinotherium giganteum","Eurasia",12.85,14.2,"Deinotheriidae",99
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",100
"Deinotherium giganteum","Eurasia",9.5,12.85,"Deinotheriidae",101
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",102
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",103
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",104
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",105
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",106
"Deinotherium giganteum","Eurasia",11.434,11.852,"Deinotheriidae",107
"Deinotherium giganteum","Eurasia",9.5,11.2,"Deinotheriidae",108
"Deinotherium giganteum","Eurasia",9,11.2,"Deinotheriidae",109
"Deinotherium giganteum","Eurasia",9.5,11.2,"Deinotheriidae",110
"Deinotherium giganteum","Eurasia",9.5,11.2,"Deinotheriidae",111
"Deinotherium giganteum","Eurasia",10.94,10.989,"Deinotheriidae",112
"Deinotherium giganteum","Eurasia",9.491,9.592,"Deinotheriidae",113
"Deinotherium giganteum","Eurasia",9,9.5,"Deinotheriidae",114
"Deinotherium giganteum","Eurasia",9,9.5,"Deinotheriidae",115
"Deinotherium giganteum","Eurasia",9.149,9.428,"Deinotheriidae",116
"Deinotherium giganteum","Eurasia",8.2,9,"Deinotheriidae",117
"Deinotherium giganteum","Eurasia",8.2,9,"Deinotheriidae",118
"Deinotherium giganteum","Eurasia",7.1,8.2,"Deinotheriidae",119
"Deinotherium giganteum","Eurasia",7.1,8.2,"Deinotheriidae",120
"Deinotherium giganteum","Eurasia",7.1,9.88,"Deinotheriidae",121
"Deinotherium giganteum","Eurasia",8.538,9.55,"Deinotheriidae",122
"Deinotherium giganteum","Eurasia",9,9.5,"Deinotheriidae",123
"Deinotherium giganteum","Eurasia",9,9.5,"Deinotheriidae",124
"Deinotherium giganteum","Eurasia",9.069,9.149,"Deinotheriidae",125
"Deinotherium giganteum","Eurasia",8.529,8.861,"Deinotheriidae",126
"Deinotherium giganteum","Eurasia",7.1,8.2,"Deinotheriidae",127
"Deinotherium giganteum","Eurasia",12.85,14.2,"Deinotheriidae",128
"Deinotherium giganteum","Eurasia",12.85,14.2,"Deinotheriidae",129
"Deinotherium giganteum","Eurasia",12.85,14.2,"Deinotheriidae",130
"Deinotherium giganteum","Eurasia",12.85,14.2,"Deinotheriidae",131
"Deinotherium giganteum","Eurasia",12.85,14.2,"Deinotheriidae",132
"Deinotherium giganteum","Eurasia",11.5,13.6,"Deinotheriidae",133
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",134
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",135
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",136
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",137
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",138
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",139
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",140
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",141
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",142
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",143
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",144
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",145
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",146
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",147
"Deinotherium giganteum","Eurasia",9.5,12.85,"Deinotheriidae",148
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",149
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",150
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",151
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",152
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",153
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",154
"Deinotherium giganteum","Eurasia",11.2,12.85,"Deinotheriidae",155
"Deinotherium giganteum","Eurasia",8.2,12.85,"Deinotheriidae",156
"Deinotherium giganteum","Eurasia",7.1,11.5,"Deinotheriidae",157
"Deinotherium giganteum","Eurasia",7.1,11.5,"Deinotheriidae",158
"Deinotherium giganteum","Eurasia",7.1,11.5,"Deinotheriidae",159
"Deinotherium giganteum","Eurasia",7.1,11.5,"Deinotheriidae",160
"Deinotherium giganteum","Eurasia",7.1,11.5,"Deinotheriidae",161
"Deinotherium giganteum","Eurasia",7.1,11.5,"Deinotheriidae",162
"Deinotherium giganteum","Eurasia",7.1,11.5,"Deinotheriidae",163
"Deinotherium giganteum","Eurasia",7.1,11.5,"Deinotheriidae",164
"Deinotherium giganteum","Eurasia",7.1,11.5,"Deinotheriidae",165
"Deinotherium giganteum","Eurasia",7.1,11.5,"Deinotheriidae",166
"Deinotherium giganteum","Eurasia",7.1,11.5,"Deinotheriidae",167
"Deinotherium giganteum","Eurasia",7.1,11.5,"Deinotheriidae",168
"Deinotherium giganteum","Eurasia",7.1,11.5,"Deinotheriidae",169
"Deinotherium giganteum","Eurasia",7.1,11.5,"Deinotheriidae",170
"Deinotherium giganteum","Eurasia",9.5,11.2,"Deinotheriidae",171
