"species","region","minimum.age","maximum.age","family","Site"
"Protanancus macinnesi","Africa",13.82,15.97,"Gomphotheriidae",311
"Protanancus macinnesi","Africa",13.82,15.97,"Gomphotheriidae",312
"Protanancus macinnesi","Africa",13.82,15.97,"Gomphotheriidae",716
"Protanancus macinnesi","Africa",15.5,15.5,"Gomphotheriidae",1087
"Protanancus macinnesi","Africa",15,15,"Gomphotheriidae",316
"Protanancus macinnesi","Africa",15,15,"Gomphotheriidae",317
"Protanancus macinnesi","Africa",15,15,"Gomphotheriidae",318
"Protanancus macinnesi","Africa",15,15,"Gomphotheriidae",1088
"Protanancus macinnesi","Africa",15,15,"Gomphotheriidae",319
"Protanancus macinnesi","Africa",15,15,"Gomphotheriidae",321
"Protanancus macinnesi","Africa",15,15,"Gomphotheriidae",1089
"Protanancus macinnesi","Africa",15,15,"Gomphotheriidae",1090
"Protanancus macinnesi","Africa",15,15,"Gomphotheriidae",322
"Protanancus macinnesi","Africa",12.85,14.2,"Gomphotheriidae",324
"Protanancus macinnesi","Africa",12.4,14,"Gomphotheriidae",325
"Protanancus macinnesi","Africa",13.7,13.8,"Gomphotheriidae",326
"Tetralophodon longirostris","Africa",11,13,"Gomphotheriidae",327
"Tetralophodon longirostris","Africa",5.3,9,"Gomphotheriidae",1177
"Anancus arvernensis","Eurasia",2.6,5.33,"Gomphotheriidae",731
"Anancus arvernensis","Eurasia",3.5,4.87,"Gomphotheriidae",732
"Anancus arvernensis","Eurasia",2.6,4.42,"Gomphotheriidae",733
"Anancus arvernensis","Eurasia",2.433,2.917,"Gomphotheriidae",734
"Anancus arvernensis","Eurasia",2.433,2.917,"Gomphotheriidae",735
"Anancus arvernensis","Eurasia",2.192,2.433,"Gomphotheriidae",488
"Anancus arvernensis","Eurasia",5.3,7.1,"Gomphotheriidae",736
"Anancus arvernensis","Eurasia",2.6,5.33,"Gomphotheriidae",737
"Anancus arvernensis","Eurasia",2.6,5.33,"Gomphotheriidae",738
"Anancus arvernensis","Eurasia",4.2,5.3,"Gomphotheriidae",739
"Anancus arvernensis","Eurasia",4.2,5.3,"Gomphotheriidae",740
"Anancus arvernensis","Eurasia",4.2,5.3,"Gomphotheriidae",741
"Anancus arvernensis","Eurasia",3.5,4.42,"Gomphotheriidae",742
"Anancus arvernensis","Eurasia",3.4,4.2,"Gomphotheriidae",743
"Anancus arvernensis","Eurasia",3.4,4.2,"Gomphotheriidae",744
"Anancus arvernensis","Eurasia",2.275,4.2,"Gomphotheriidae",745
"Anancus arvernensis","Eurasia",3.4,4.2,"Gomphotheriidae",746
"Anancus arvernensis","Eurasia",3.4,4.2,"Gomphotheriidae",747
"Anancus arvernensis","Eurasia",3.4,4.2,"Gomphotheriidae",748
"Anancus arvernensis","Eurasia",2.6,3.5,"Gomphotheriidae",749
"Anancus arvernensis","Eurasia",2.6,3.5,"Gomphotheriidae",491
"Anancus arvernensis","Eurasia",2.6,3.5,"Gomphotheriidae",750
"Anancus arvernensis","Eurasia",2.6,3.5,"Gomphotheriidae",751
"Anancus arvernensis","Eurasia",2.6,3.5,"Gomphotheriidae",752
"Anancus arvernensis","Eurasia",2.6,3.5,"Gomphotheriidae",753
"Anancus arvernensis","Eurasia",2.6,3.4,"Gomphotheriidae",754
"Anancus arvernensis","Eurasia",2.6,3.4,"Gomphotheriidae",755
"Anancus arvernensis","Eurasia",2.6,3.4,"Gomphotheriidae",756
"Anancus arvernensis","Eurasia",2.6,3.4,"Gomphotheriidae",757
"Anancus arvernensis","Eurasia",2.6,3.4,"Gomphotheriidae",758
"Anancus arvernensis","Eurasia",2.6,3.4,"Gomphotheriidae",759
"Anancus arvernensis","Eurasia",1.95,3.4,"Gomphotheriidae",760
"Anancus arvernensis","Eurasia",1.95,3.4,"Gomphotheriidae",761
"Anancus arvernensis","Eurasia",1.95,3.4,"Gomphotheriidae",762
"Anancus arvernensis","Eurasia",2.6,3.4,"Gomphotheriidae",763
"Anancus arvernensis","Eurasia",1.95,2.131,"Gomphotheriidae",764
"Anancus arvernensis","Eurasia",11.2,12.85,"Gomphotheriidae",105
"Anancus arvernensis","Eurasia",5.3,7.1,"Gomphotheriidae",765
"Anancus arvernensis","Eurasia",4.2,5.3,"Gomphotheriidae",766
"Anancus arvernensis","Eurasia",4.2,5.3,"Gomphotheriidae",767
"Anancus arvernensis","Eurasia",4.2,5.3,"Gomphotheriidae",768
"Anancus arvernensis","Eurasia",4.2,5.3,"Gomphotheriidae",769
"Anancus arvernensis","Eurasia",2.6,3.4,"Gomphotheriidae",770
"Anancus arvernensis","Eurasia",2.6,3.4,"Gomphotheriidae",771
